time,tst-15.1,tst-15.2,tst-15.3,tst-15.4,tst-15.5,tst-15.6,tst-15.7,tst-15.8,tst-15.9,tst-15.10,tst-15.11,tst-15.12,tst-15.13,tst-15.14
63,0.00041749,0.000434921,0.000548043,0.000588558,0.00075088,0.00082772,0.00102485,0.001147351,0.001350848,0.0015238,0.003180439,0.003624809,0.00490331,0.005574697
64,0.000417498,0.000434926,0.000548092,0.000588609,0.000751382,0.000828304,0.00102689,0.001149732,0.001355819,0.001529578,0.003211902,0.003661147,0.004963891,0.005644353
65,0.000417479,0.000434907,0.000548114,0.000588637,0.000751831,0.000828839,0.001028822,0.001151993,0.00136061,0.001535154,0.003243008,0.003697059,0.005024028,0.005713468
66,0.000417453,0.000434886,0.000548127,0.000588658,0.000752245,0.000829337,0.001030662,0.001154148,0.001365238,0.001540542,0.003273753,0.003732551,0.005083735,0.005782038
67,0.000417452,0.000434887,0.000548157,0.000588693,0.00075265,0.000829814,0.001032435,0.001156219,0.001369727,0.001545761,0.003304143,0.003767638,0.005143022,0.005850056
68,0.000417459,0.00043489,0.00054819,0.000588726,0.000753035,0.000830262,0.001034132,0.001158201,0.00137407,0.001550809,0.003334181,0.003802317,0.005201889,0.005917534
69,0.000417442,0.000434874,0.000548201,0.000588741,0.000753379,0.000830672,0.001035739,0.001160083,0.001378258,0.001555683,0.003363869,0.003836583,0.005260326,0.005984474
70,0.000417419,0.000434857,0.000548205,0.000588752,0.000753695,0.000831054,0.001037271,0.001161877,0.001382303,0.001560392,0.003393208,0.003870444,0.00531836,0.006050891
71,0.000417418,0.000434857,0.000548224,0.000588774,0.000754005,0.000831419,0.001038746,0.001163601,0.001386226,0.001564953,0.003422203,0.003903913,0.005376004,0.006116794
72,0.000417422,0.000434859,0.000548246,0.000588794,0.000754299,0.000831763,0.001040159,0.00116525,0.001390021,0.001569364,0.003450861,0.003936994,0.005433268,0.006182214
73,0.000417408,0.000434845,0.00054825,0.000588801,0.000754562,0.000832077,0.001041497,0.001166817,0.001393682,0.001573624,0.003479186,0.003969684,0.005490152,0.006247165
74,0.000417388,0.00043483,0.000548248,0.000588805,0.000754803,0.000832369,0.001042771,0.001168311,0.001397218,0.00157774,0.003507182,0.004001993,0.005546681,0.006311673
75,0.000417387,0.000434829,0.00054826,0.000588819,0.00075504,0.00083265,0.001043999,0.001169745,0.001400646,0.001581725,0.003534855,0.004033934,0.005602874,0.006375757
76,0.00041739,0.000434831,0.000548274,0.000588832,0.000755266,0.000832913,0.001045175,0.001171118,0.001403963,0.001585581,0.003562212,0.004065511,0.005658739,0.006439452
77,0.000417377,0.000434819,0.000548274,0.000588834,0.000755467,0.000833153,0.001046289,0.001172422,0.001407163,0.001589304,0.003589258,0.004096724,0.005714279,0.006502775
78,0.00041736,0.000434806,0.00054827,0.000588834,0.00075565,0.000833378,0.00104735,0.001173666,0.001410254,0.001592902,0.003615995,0.00412758,0.005769515,0.006565752
79,0.000417358,0.000434805,0.000548276,0.000588842,0.000755832,0.000833593,0.001048372,0.00117486,0.00141325,0.001596384,0.003642429,0.00415809,0.00582446,0.006628398
80,0.00041736,0.000434806,0.000548285,0.000588849,0.000756005,0.000833794,0.001049351,0.001176003,0.001416149,0.001599753,0.003668566,0.004188256,0.005879119,0.006690741
81,0.000417349,0.000434796,0.000548282,0.000588849,0.000756158,0.000833979,0.001050279,0.001177089,0.001418946,0.001603007,0.003694409,0.004218079,0.005933489,0.006752791
82,0.000417334,0.000434785,0.000548276,0.000588846,0.000756298,0.00083415,0.001051162,0.001178125,0.001421648,0.001606152,0.00371996,0.004247563,0.005987583,0.006814563
83,0.000417332,0.000434784,0.00054828,0.000588851,0.000756436,0.000834315,0.001052013,0.001179119,0.001424267,0.001609195,0.003745222,0.004276717,0.006041407,0.006876061
84,0.000417333,0.000434784,0.000548285,0.000588855,0.000756569,0.00083447,0.001052828,0.00118007,0.001426801,0.001612139,0.003770201,0.004305541,0.006094961,0.006937297
85,0.000417323,0.000434775,0.000548281,0.000588852,0.000756685,0.000834611,0.0010536,0.001180974,0.001429246,0.001614983,0.003794898,0.004334037,0.006148234,0.006998269
86,0.00041731,0.000434766,0.000548274,0.000588849,0.000756792,0.000834742,0.001054336,0.001181837,0.001431608,0.001617732,0.003819314,0.004362207,0.006201233,0.007058979
87,0.000417308,0.000434764,0.000548275,0.000588851,0.000756898,0.000834868,0.001055044,0.001182664,0.001433897,0.001620391,0.003843452,0.004390057,0.006253957,0.007119417
88,0.000417308,0.000434764,0.000548278,0.000588853,0.000756999,0.000834986,0.001055723,0.001183456,0.001436112,0.001622964,0.003867316,0.004417591,0.006306402,0.007179583
89,0.0004173,0.000434757,0.000548274,0.000588849,0.000757088,0.000835094,0.001056366,0.001184209,0.001438249,0.001625449,0.003890909,0.004444808,0.006358554,0.007239464
90,0.000417288,0.000434748,0.000548267,0.000588845,0.000757169,0.000835195,0.001056979,0.001184927,0.001440314,0.001627851,0.00391423,0.004471711,0.006410417,0.007299051
91,0.000417286,0.000434747,0.000548266,0.000588846,0.00075725,0.000835291,0.001057568,0.001185616,0.001442314,0.001630175,0.003937284,0.004498306,0.006461988,0.007358328
92,0.000417286,0.000434746,0.000548268,0.000588846,0.000757327,0.000835382,0.001058133,0.001186275,0.00144425,0.001632423,0.003960075,0.004524596,0.006513261,0.007417288
93,0.000417278,0.00043474,0.000548263,0.000588843,0.000757395,0.000835464,0.001058669,0.001186901,0.001446118,0.001634595,0.003982605,0.004550583,0.006564226,0.007475916
94,0.000417268,0.000434732,0.000548256,0.000588838,0.000757456,0.000835541,0.001059179,0.001187499,0.001447923,0.001636694,0.004004876,0.00457627,0.006614886,0.007534201
95,0.000417265,0.000434731,0.000548255,0.000588838,0.000757517,0.000835614,0.00105967,0.001188072,0.001449672,0.001638725,0.00402689,0.004601663,0.00666524,0.007592128
96,0.000417265,0.00043473,0.000548255,0.000588838,0.000757576,0.000835684,0.00106014,0.001188621,0.001451364,0.00164069,0.004048654,0.004626765,0.006715285,0.007649694
97,0.000417258,0.000434724,0.00054825,0.000588834,0.000757628,0.000835747,0.001060586,0.001189143,0.001452997,0.001642588,0.004070168,0.004651579,0.006765015,0.007706886
98,0.000417249,0.000434718,0.000548244,0.000588829,0.000757674,0.000835805,0.001061011,0.00118964,0.001454575,0.001644422,0.004091436,0.004676107,0.006814437,0.007763702
99,0.000417246,0.000434716,0.000548242,0.000588828,0.000757721,0.000835861,0.00106142,0.001190118,0.001456103,0.001646197,0.004112461,0.004700354,0.006863552,0.007820132
